Designator,Mid X,Mid Y,Rotation,Layer
C1,135.7875,-56.35,180.0,top
C2,135.7875,-71.59,180.0,top
C3,135.7875,-86.83,180.0,top
C4,135.7875,-102.07,180.0,top
C5,145.5125,-67.15,0.0,top
C6,152.4875,-56.5,180.0,top
C7,152.4875,-71.74,180.0,top
C8,152.4875,-86.98,180.0,top
C9,152.4875,-102.22,180.0,top
D1,127.94,-59.13,90.0,top
D10,125.4,-74.37,90.0,top
D11,122.86,-74.37,90.0,top
D12,120.32,-74.37,90.0,top
D13,116.51,-74.37,90.0,top
D14,113.97,-74.37,90.0,top
D15,111.43,-74.37,90.0,top
D16,108.89,-74.37,90.0,top
D17,127.94,-89.61,90.0,top
D18,125.4,-89.61,90.0,top
D19,122.86,-89.61,90.0,top
D2,125.4,-59.13,90.0,top
D20,120.32,-89.61,90.0,top
D21,116.51,-89.61,90.0,top
D22,113.97,-89.61,90.0,top
D23,111.43,-89.61,90.0,top
D24,108.89,-89.61,90.0,top
D25,127.94,-104.85,90.0,top
D26,125.4,-104.85,90.0,top
D27,122.86,-104.85,90.0,top
D28,120.32,-104.85,90.0,top
D29,116.51,-104.85,90.0,top
D3,122.86,-59.13,90.0,top
D30,113.97,-104.85,90.0,top
D31,111.43,-104.85,90.0,top
D32,108.89,-104.85,90.0,top
D4,120.32,-59.13,90.0,top
D5,116.51,-59.13,90.0,top
D6,113.97,-59.13,90.0,top
D7,111.43,-59.13,90.0,top
D8,108.89,-59.13,90.0,top
D9,127.94,-74.37,90.0,top
J1,146.99,-52.54,270.0,top
J11,131.75,-99.525,0.0,top
J12,116.51,-100.8,270.0,top
J14,172.39,-55.08,270.0,top
J15,172.39,-63.335,270.0,top
J16,172.39,-70.32,270.0,top
J17,172.39,-78.575,270.0,top
J18,172.39,-85.56,270.0,top
J19,172.39,-93.815,270.0,top
J2,131.75,-53.81,0.0,top
J20,172.39,-100.8,270.0,top
J21,172.39,-109.055,270.0,top
J3,116.51,-55.08,270.0,top
J5,131.75,-69.05,0.0,top
J6,116.51,-70.32,270.0,top
J8,131.75,-84.285,0.0,top
J9,116.51,-85.56,270.0,top
R1,127.94,-62.9775,270.0,top
R10,125.4,-78.2175,270.0,top
R11,122.86,-78.2175,270.0,top
R12,120.32,-78.2175,270.0,top
R13,116.51,-78.2175,270.0,top
R14,113.97,-78.2175,270.0,top
R15,111.43,-78.2175,270.0,top
R16,108.89,-78.2175,270.0,top
R17,127.94,-93.4575,270.0,top
R18,125.4,-93.4575,270.0,top
R19,122.86,-93.4575,270.0,top
R2,125.4,-62.9775,270.0,top
R20,120.32,-93.4575,270.0,top
R21,116.51,-93.4575,270.0,top
R22,113.97,-93.4575,270.0,top
R23,111.43,-93.4575,270.0,top
R24,108.89,-93.4575,270.0,top
R25,127.94,-108.6975,270.0,top
R26,125.4,-108.6975,270.0,top
R27,122.86,-108.6975,270.0,top
R28,120.32,-108.6975,270.0,top
R29,116.51,-108.6975,270.0,top
R3,122.86,-62.9775,270.0,top
R30,113.97,-108.6975,270.0,top
R31,111.43,-108.6975,270.0,top
R32,108.89,-108.6975,270.0,top
R33,180.01,-59.1175,270.0,top
R34,177.47,-59.1175,270.0,top
R35,174.93,-59.1175,270.0,top
R36,172.39,-59.1175,270.0,top
R37,169.85,-59.1175,270.0,top
R38,167.31,-59.1175,270.0,top
R39,164.77,-59.1175,270.0,top
R4,120.32,-62.9775,270.0,top
R40,162.23,-59.1175,270.0,top
R41,180.01,-74.3575,270.0,top
R42,177.47,-74.3575,270.0,top
R43,174.93,-74.3575,270.0,top
R44,172.39,-74.3575,270.0,top
R45,169.85,-74.3575,270.0,top
R46,167.31,-74.3575,270.0,top
R47,164.77,-74.3575,270.0,top
R48,162.23,-74.3575,270.0,top
R49,180.01,-89.5975,270.0,top
R5,116.51,-62.9775,270.0,top
R50,177.47,-89.5975,270.0,top
R51,174.93,-89.5975,270.0,top
R52,172.39,-89.5975,270.0,top
R53,169.85,-89.5975,270.0,top
R54,167.31,-89.5975,270.0,top
R55,164.77,-89.5975,270.0,top
R56,162.23,-89.5975,270.0,top
R57,180.01,-104.8375,270.0,top
R58,177.47,-104.8375,270.0,top
R59,174.93,-104.8375,270.0,top
R6,113.97,-62.9775,270.0,top
R60,172.39,-104.8375,270.0,top
R61,169.85,-104.8375,270.0,top
R62,167.31,-104.8375,270.0,top
R63,164.77,-104.8375,270.0,top
R64,162.23,-104.8375,270.0,top
R7,111.43,-62.9775,270.0,top
R8,108.89,-62.9775,270.0,top
R9,127.94,-78.2175,270.0,top
U1,135.8625,-60.475,270.0,top
U2,135.8625,-75.775,270.0,top
U3,135.8625,-91.025,270.0,top
U4,135.8625,-106.275,270.0,top
U5,145.55,-63.55,270.0,top
U6,152.5125,-60.525,270.0,top
U7,152.5125,-75.765,270.0,top
U8,152.5125,-91.005,270.0,top
U9,152.5125,-106.245,270.0,top
